A01nficha;A01uf;idade_calculada;E03;E05;id_genero
6671;53;55;1;2;1
6671;53;26;2;2;1
6671;53;21;2;2;1
6671;53;19;2;4;1
6671;53;8;1;2;99999
6671;53;6;1;2;99999
6714;53;60;1;4;1
6715;53;45;2;1;1
6715;53;59;1;1;1
6715;53;25;2;1;1
6715;53;24;2;1;1
6738;53;82;2;4;1
6738;53;29;1;1;1
6749;53;60;1;4;1
6750;53;76;2;4;1
6750;53;73;2;1;1
6783;53;42;2;4;1
6783;53;17;1;4;99999
6783;53;9;1;4;99999
6826;53;67;2;4;1
6840;53;52;1;4;1
6840;53;43;2;1;1
6854;53;58;2;1;1
6854;53;70;1;4;1
6854;53;22;2;4;1
6867;53;67;2;2;1
6867;53;45;2;1;1
6867;53;24;1;4;1
6867;53;9;1;1;99999
6875;53;28;1;4;1
6875;53;27;2;1;1
6941;53;64;2;4;1
6941;53;90;2;1;1
6941;53;40;2;1;1
6964;53;38;1;2;1
6967;53;52;2;3;1
6967;53;27;2;2;1
6967;53;20;1;1;1
6967;53;23;1;2;1
6969;53;62;2;1;1
6969;53;45;1;4;1
6969;53;44;2;1;1
6969;53;12;2;1;99999
7006;53;31;2;4;1
7006;53;54;2;1;1
7006;53;2;2;1;99999
7012;53;44;2;4;1
7022;53;82;2;4;1
7075;53;60;2;4;1
7075;53;54;1;4;1
7075;53;20;2;4;1
7084;53;34;1;4;1
7084;53;28;2;4;1
7084;53;5;1;4;99999
7084;53;1;2;4;99999
7084;53;1;2;1;99999
7120;53;35;2;4;1
7120;53;42;1;4;1
7120;53;8;2;4;99999
7120;53;0;1;4;99999
7145;53;47;2;4;1
7145;53;41;1;4;1
7145;53;13;2;1;99999
7156;53;63;2;4;1
7156;53;65;1;4;1
7173;53;46;1;4;1
7173;53;44;2;4;1
7173;53;21;2;4;1
7173;53;13;2;4;99999
7173;53;4;2;4;99999
7222;53;78;2;1;1
7222;53;18;2;1;99999
7222;53;18;1;1;99999
7222;53;25;1;1;99999
7222;53;22;2;1;99999
7252;53;55;1;2;1
7252;53;56;2;4;1
7252;53;81;2;4;1
7265;53;59;2;1;1
7280;53;82;1;1;2
7405;53;84;1;1;1
7405;53;84;2;1;1
7503;53;76;2;2;1
7516;53;68;1;1;1
7516;53;48;2;4;1
7527;53;61;1;1;1
7527;53;60;2;1;1
7533;53;45;1;5;1
7533;53;24;1;5;1
7533;53;22;1;5;1
7578;53;43;2;4;1
7578;53;6;1;4;99999
7595;53;37;2;1;1
7605;53;64;1;1;1
7605;53;41;1;1;1
7605;53;44;2;4;1
7605;53;13;2;4;99999
7619;53;20;1;4;1
7619;53;20;2;2;1
7619;53;40;2;4;1
7654;53;38;2;4;1
7655;53;30;1;4;1
7716;53;38;1;4;1
7716;53;43;2;3;1
7716;53;43;2;4;1
7716;53;21;1;4;1
7722;53;46;1;4;1
7722;53;28;2;1;1
7722;53;49;2;2;1
7722;53;18;1;2;1
7722;53;8;2;4;99999
7727;53;49;1;1;1
7727;53;52;2;2;1
7727;53;22;1;1;1
7727;53;32;2;2;1
7730;53;86;1;1;1
7754;53;36;2;1;1
7754;53;50;1;2;1
7754;53;14;2;4;99999
7754;53;9;2;4;99999
7754;53;6;1;4;99999
7754;53;4;1;4;99999
7767;53;49;1;4;1
7767;53;35;2;4;1
7767;53;9;2;4;99999
7767;53;5;2;4;99999
7836;53;29;2;4;1
7836;53;12;1;4;99999
7836;53;9;2;4;99999
7836;53;2;2;4;99999
7873;53;36;2;2;1
7873;53;19;1;2;1
7873;53;18;2;2;1
7873;53;9;1;2;99999
7880;53;79;2;2;1
7880;53;85;2;2;1
7880;53;40;1;2;1
7880;53;21;1;2;1
7906;53;44;2;2;1
7906;53;66;2;2;1
7906;53;18;1;4;1
7906;53;6;2;1;99999
7910;53;75;1;1;1
7910;53;61;2;1;1
7910;53;26;2;1;1
7961;53;38;2;1;1
7961;53;22;2;4;1
7961;53;28;1;2;1
7961;53;3;2;1;99999
7966;53;45;2;1;1
7966;53;76;2;1;1
7966;53;42;2;1;1
7966;53;21;2;1;1
7971;53;25;1;4;1
7971;53;25;2;4;1
8007;53;63;2;4;1
8007;53;23;2;1;1
8018;53;43;1;4;1
8018;53;44;2;1;1
8018;53;20;1;1;1
8018;53;13;2;4;99999
8018;53;10;2;4;99999
8036;53;61;2;2;1
8036;53;63;1;4;1
8036;53;31;2;2;1
8036;53;34;1;2;1
8036;53;35;2;4;1
8046;53;62;2;4;1
8046;53;88;2;1;1
8049;53;73;1;4;1
8049;53;69;2;1;1
8051;53;50;1;1;1
8051;53;48;2;3;1
8104;53;58;2;4;1
8109;53;27;2;2;1
8109;53;9;1;4;99999
8155;53;38;1;1;1
8155;53;40;2;1;1
8170;53;57;2;4;1
8183;53;39;2;1;1
